ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,NEWS322,SYSTEM1.TXT,0.14815,0.15385,0.15094,1

ROUGE-1+StopWordRemoval,NEWS322,SYSTEM1.TXT,0.16129,0.15625,0.15873,1

ROUGE-2+StopWordRemoval,NEWS322,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L+StopWordRemoval,NEWS564,SYSTEM1.TXT,0.31579,0.15789,0.21053,1

ROUGE-1+StopWordRemoval,NEWS564,SYSTEM1.TXT,0.38095,0.16000,0.22535,1

ROUGE-2+StopWordRemoval,NEWS564,SYSTEM1.TXT,0.05556,0.02128,0.03077,1

ROUGE-L+StopWordRemoval,NEWS323,SYSTEM1.TXT,0.62500,0.23256,0.33898,1

ROUGE-1+StopWordRemoval,NEWS323,SYSTEM1.TXT,0.72222,0.20312,0.31707,1

ROUGE-2+StopWordRemoval,NEWS323,SYSTEM1.TXT,0.43750,0.11475,0.18182,1

ROUGE-L+StopWordRemoval,NEWS565,SYSTEM1.TXT,0.12500,0.06452,0.08511,1

ROUGE-1+StopWordRemoval,NEWS565,SYSTEM1.TXT,0.12500,0.05405,0.07547,1

ROUGE-2+StopWordRemoval,NEWS565,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L+StopWordRemoval,NEWS566,SYSTEM1.TXT,0.18182,0.09302,0.12308,1

ROUGE-1+StopWordRemoval,NEWS566,SYSTEM1.TXT,0.25000,0.12245,0.16438,1

ROUGE-2+StopWordRemoval,NEWS566,SYSTEM1.TXT,0.04762,0.02174,0.02985,1

ROUGE-L+StopWordRemoval,NEWS324,SYSTEM1.TXT,0.41667,0.41667,0.41667,1

ROUGE-1+StopWordRemoval,NEWS324,SYSTEM1.TXT,0.46154,0.31579,0.37500,1

ROUGE-2+StopWordRemoval,NEWS324,SYSTEM1.TXT,0.26087,0.17143,0.20690,1

ROUGE-L+StopWordRemoval,NEWS325,SYSTEM1.TXT,0.21739,0.26316,0.23810,1

ROUGE-1+StopWordRemoval,NEWS325,SYSTEM1.TXT,0.20833,0.22727,0.21739,1

ROUGE-2+StopWordRemoval,NEWS325,SYSTEM1.TXT,0.04762,0.05263,0.05000,1

ROUGE-L+StopWordRemoval,NEWS567,SYSTEM1.TXT,0.24000,0.13636,0.17391,1

ROUGE-1+StopWordRemoval,NEWS567,SYSTEM1.TXT,0.26923,0.14894,0.19178,1

ROUGE-2+StopWordRemoval,NEWS567,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L+StopWordRemoval,NEWS326,SYSTEM1.TXT,0.25000,0.08475,0.12658,1

ROUGE-1+StopWordRemoval,NEWS326,SYSTEM1.TXT,0.33333,0.10000,0.15385,1

ROUGE-2+StopWordRemoval,NEWS326,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L+StopWordRemoval,NEWS568,SYSTEM1.TXT,0.13333,0.06667,0.08889,1

ROUGE-1+StopWordRemoval,NEWS568,SYSTEM1.TXT,0.12500,0.05556,0.07692,1

ROUGE-2+StopWordRemoval,NEWS568,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L+StopWordRemoval,NEWS569,SYSTEM1.TXT,0.21739,0.22727,0.22222,1

ROUGE-1+StopWordRemoval,NEWS569,SYSTEM1.TXT,0.20833,0.20833,0.20833,1

ROUGE-2+StopWordRemoval,NEWS569,SYSTEM1.TXT,0.09524,0.09524,0.09524,1

ROUGE-L+StopWordRemoval,NEWS327,SYSTEM1.TXT,0.30000,0.15789,0.20690,1

ROUGE-1+StopWordRemoval,NEWS327,SYSTEM1.TXT,0.33333,0.15556,0.21212,1

ROUGE-2+StopWordRemoval,NEWS327,SYSTEM1.TXT,0.15789,0.07143,0.09836,1

ROUGE-L+StopWordRemoval,NEWS328,SYSTEM1.TXT,0.62500,0.42857,0.50847,1

ROUGE-1+StopWordRemoval,NEWS328,SYSTEM1.TXT,0.57692,0.37500,0.45455,1

ROUGE-2+StopWordRemoval,NEWS328,SYSTEM1.TXT,0.39130,0.24324,0.30000,1

ROUGE-L+StopWordRemoval,NEWS329,SYSTEM1.TXT,0.33333,0.11429,0.17021,1

ROUGE-1+StopWordRemoval,NEWS329,SYSTEM1.TXT,0.33333,0.09756,0.15094,1

ROUGE-2+StopWordRemoval,NEWS329,SYSTEM1.TXT,0.10000,0.02632,0.04167,1

ROUGE-L+StopWordRemoval,NEWS570,SYSTEM1.TXT,0.41176,0.19444,0.26415,1

ROUGE-1+StopWordRemoval,NEWS570,SYSTEM1.TXT,0.41176,0.16667,0.23729,1

ROUGE-2+StopWordRemoval,NEWS570,SYSTEM1.TXT,0.26667,0.10256,0.14815,1

ROUGE-L+StopWordRemoval,NEWS571,SYSTEM1.TXT,0.18750,0.11111,0.13953,1

ROUGE-1+StopWordRemoval,NEWS571,SYSTEM1.TXT,0.15789,0.10345,0.12500,1

ROUGE-2+StopWordRemoval,NEWS571,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L+StopWordRemoval,NEWS330,SYSTEM1.TXT,0.23077,0.09677,0.13636,1

ROUGE-1+StopWordRemoval,NEWS330,SYSTEM1.TXT,0.23077,0.07317,0.11111,1

ROUGE-2+StopWordRemoval,NEWS330,SYSTEM1.TXT,0.09091,0.02632,0.04082,1

ROUGE-L+StopWordRemoval,NEWS572,SYSTEM1.TXT,0.28000,0.16279,0.20588,1

ROUGE-1+StopWordRemoval,NEWS572,SYSTEM1.TXT,0.39286,0.19643,0.26190,1

ROUGE-2+StopWordRemoval,NEWS572,SYSTEM1.TXT,0.12000,0.05660,0.07692,1

ROUGE-L+StopWordRemoval,NEWS573,SYSTEM1.TXT,0.17391,0.16000,0.16667,1

ROUGE-1+StopWordRemoval,NEWS573,SYSTEM1.TXT,0.23077,0.19355,0.21053,1

ROUGE-2+StopWordRemoval,NEWS573,SYSTEM1.TXT,0.04348,0.03571,0.03922,1

ROUGE-L+StopWordRemoval,NEWS331,SYSTEM1.TXT,0.13636,0.05882,0.08219,1

ROUGE-1+StopWordRemoval,NEWS331,SYSTEM1.TXT,0.29167,0.10938,0.15909,1

ROUGE-2+StopWordRemoval,NEWS331,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L+StopWordRemoval,NEWS332,SYSTEM1.TXT,0.26316,0.16129,0.20000,1

ROUGE-1+StopWordRemoval,NEWS332,SYSTEM1.TXT,0.30435,0.20588,0.24561,1

ROUGE-2+StopWordRemoval,NEWS332,SYSTEM1.TXT,0.20000,0.12903,0.15686,1

ROUGE-L+StopWordRemoval,NEWS574,SYSTEM1.TXT,0.43478,0.23256,0.30303,1

ROUGE-1+StopWordRemoval,NEWS574,SYSTEM1.TXT,0.52000,0.25490,0.34211,1

ROUGE-2+StopWordRemoval,NEWS574,SYSTEM1.TXT,0.13636,0.06250,0.08571,1

ROUGE-L+StopWordRemoval,NEWS333,SYSTEM1.TXT,0.19048,0.14815,0.16667,1

ROUGE-1+StopWordRemoval,NEWS333,SYSTEM1.TXT,0.19048,0.12500,0.15094,1

ROUGE-2+StopWordRemoval,NEWS333,SYSTEM1.TXT,0.05263,0.03448,0.04167,1

ROUGE-L+StopWordRemoval,NEWS575,SYSTEM1.TXT,0.11765,0.04255,0.06250,1

ROUGE-1+StopWordRemoval,NEWS575,SYSTEM1.TXT,0.16667,0.05357,0.08108,1

ROUGE-2+StopWordRemoval,NEWS575,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L+StopWordRemoval,NEWS576,SYSTEM1.TXT,0.18519,0.11905,0.14493,1

ROUGE-1+StopWordRemoval,NEWS576,SYSTEM1.TXT,0.34483,0.20000,0.25316,1

ROUGE-2+StopWordRemoval,NEWS576,SYSTEM1.TXT,0.11538,0.06383,0.08219,1

ROUGE-L+StopWordRemoval,NEWS334,SYSTEM1.TXT,0.40000,0.12903,0.19512,1

ROUGE-1+StopWordRemoval,NEWS334,SYSTEM1.TXT,0.50000,0.13514,0.21277,1

ROUGE-2+StopWordRemoval,NEWS334,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L+StopWordRemoval,NEWS335,SYSTEM1.TXT,0.03846,0.02941,0.03333,1

ROUGE-1+StopWordRemoval,NEWS335,SYSTEM1.TXT,0.03704,0.02381,0.02899,1

ROUGE-2+StopWordRemoval,NEWS335,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L+StopWordRemoval,NEWS577,SYSTEM1.TXT,0.44000,0.26190,0.32836,1

ROUGE-1+StopWordRemoval,NEWS577,SYSTEM1.TXT,0.46154,0.26087,0.33333,1

ROUGE-2+StopWordRemoval,NEWS577,SYSTEM1.TXT,0.26087,0.13953,0.18182,1

ROUGE-L+StopWordRemoval,NEWS336,SYSTEM1.TXT,0.38889,0.17949,0.24561,1

ROUGE-1+StopWordRemoval,NEWS336,SYSTEM1.TXT,0.45455,0.20408,0.28169,1

ROUGE-2+StopWordRemoval,NEWS336,SYSTEM1.TXT,0.31579,0.13043,0.18462,1

ROUGE-L+StopWordRemoval,NEWS578,SYSTEM1.TXT,0.13333,0.05000,0.07273,1

ROUGE-1+StopWordRemoval,NEWS578,SYSTEM1.TXT,0.12500,0.04762,0.06897,1

ROUGE-2+StopWordRemoval,NEWS578,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L+StopWordRemoval,NEWS579,SYSTEM1.TXT,0.60000,0.15000,0.24000,1

ROUGE-1+StopWordRemoval,NEWS579,SYSTEM1.TXT,0.83333,0.22222,0.35088,1

ROUGE-2+StopWordRemoval,NEWS579,SYSTEM1.TXT,0.60000,0.14286,0.23077,1

ROUGE-L+StopWordRemoval,NEWS337,SYSTEM1.TXT,0.08333,0.03448,0.04878,1

ROUGE-1+StopWordRemoval,NEWS337,SYSTEM1.TXT,0.08333,0.03030,0.04444,1

ROUGE-2+StopWordRemoval,NEWS337,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L+StopWordRemoval,NEWS338,SYSTEM1.TXT,0.16667,0.06522,0.09375,1

ROUGE-1+StopWordRemoval,NEWS338,SYSTEM1.TXT,0.15000,0.05263,0.07792,1

ROUGE-2+StopWordRemoval,NEWS338,SYSTEM1.TXT,0.05556,0.01852,0.02778,1

ROUGE-L+StopWordRemoval,NEWS339,SYSTEM1.TXT,0.57143,0.19355,0.28916,1

ROUGE-1+StopWordRemoval,NEWS339,SYSTEM1.TXT,0.57692,0.22388,0.32258,1

ROUGE-2+StopWordRemoval,NEWS339,SYSTEM1.TXT,0.30435,0.10938,0.16092,1

ROUGE-L+StopWordRemoval,NEWS580,SYSTEM1.TXT,0.26667,0.08889,0.13333,1

ROUGE-1+StopWordRemoval,NEWS580,SYSTEM1.TXT,0.41176,0.13208,0.20000,1

ROUGE-2+StopWordRemoval,NEWS580,SYSTEM1.TXT,0.13333,0.04000,0.06154,1

ROUGE-L+StopWordRemoval,NEWS581,SYSTEM1.TXT,0.29167,0.19444,0.23333,1

ROUGE-1+StopWordRemoval,NEWS581,SYSTEM1.TXT,0.33333,0.19048,0.24242,1

ROUGE-2+StopWordRemoval,NEWS581,SYSTEM1.TXT,0.14286,0.07692,0.10000,1

ROUGE-L+StopWordRemoval,NEWS582,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-1+StopWordRemoval,NEWS582,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-2+StopWordRemoval,NEWS582,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L+StopWordRemoval,NEWS340,SYSTEM1.TXT,0.46154,0.20690,0.28571,1

ROUGE-1+StopWordRemoval,NEWS340,SYSTEM1.TXT,0.50000,0.21212,0.29787,1

ROUGE-2+StopWordRemoval,NEWS340,SYSTEM1.TXT,0.18182,0.06667,0.09756,1

ROUGE-L+StopWordRemoval,NEWS583,SYSTEM1.TXT,0.10526,0.04651,0.06452,1

ROUGE-1+StopWordRemoval,NEWS583,SYSTEM1.TXT,0.10526,0.04000,0.05797,1

ROUGE-2+StopWordRemoval,NEWS583,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L+StopWordRemoval,NEWS341,SYSTEM1.TXT,0.42308,0.22449,0.29333,1

ROUGE-1+StopWordRemoval,NEWS341,SYSTEM1.TXT,0.40741,0.19643,0.26506,1

ROUGE-2+StopWordRemoval,NEWS341,SYSTEM1.TXT,0.12500,0.05660,0.07792,1

ROUGE-L+StopWordRemoval,NEWS100,SYSTEM1.TXT,0.18750,0.12500,0.15000,1

ROUGE-1+StopWordRemoval,NEWS100,SYSTEM1.TXT,0.33333,0.20000,0.25000,1

ROUGE-2+StopWordRemoval,NEWS100,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L+StopWordRemoval,NEWS584,SYSTEM1.TXT,0.19048,0.21053,0.20000,1

ROUGE-1+StopWordRemoval,NEWS584,SYSTEM1.TXT,0.22727,0.21739,0.22222,1

ROUGE-2+StopWordRemoval,NEWS584,SYSTEM1.TXT,0.05263,0.05000,0.05128,1

ROUGE-L+StopWordRemoval,NEWS342,SYSTEM1.TXT,0.35000,0.11111,0.16867,1

ROUGE-1+StopWordRemoval,NEWS342,SYSTEM1.TXT,0.40000,0.09877,0.15842,1

ROUGE-2+StopWordRemoval,NEWS342,SYSTEM1.TXT,0.11765,0.02564,0.04211,1

ROUGE-L+StopWordRemoval,NEWS343,SYSTEM1.TXT,0.18750,0.13636,0.15789,1

ROUGE-1+StopWordRemoval,NEWS343,SYSTEM1.TXT,0.27778,0.15152,0.19608,1

ROUGE-2+StopWordRemoval,NEWS343,SYSTEM1.TXT,0.12500,0.06667,0.08696,1

ROUGE-L+StopWordRemoval,NEWS585,SYSTEM1.TXT,0.30435,0.20000,0.24138,1

ROUGE-1+StopWordRemoval,NEWS585,SYSTEM1.TXT,0.37500,0.20455,0.26471,1

ROUGE-2+StopWordRemoval,NEWS585,SYSTEM1.TXT,0.09524,0.04878,0.06452,1

ROUGE-L+StopWordRemoval,NEWS101,SYSTEM1.TXT,0.33333,0.16667,0.22222,1

ROUGE-1+StopWordRemoval,NEWS101,SYSTEM1.TXT,0.33333,0.13636,0.19355,1

ROUGE-2+StopWordRemoval,NEWS101,SYSTEM1.TXT,0.25000,0.09756,0.14035,1

ROUGE-L+StopWordRemoval,NEWS102,SYSTEM1.TXT,0.59091,0.24528,0.34667,1

ROUGE-1+StopWordRemoval,NEWS102,SYSTEM1.TXT,0.60870,0.22951,0.33333,1

ROUGE-2+StopWordRemoval,NEWS102,SYSTEM1.TXT,0.26316,0.08621,0.12987,1

ROUGE-L+StopWordRemoval,NEWS586,SYSTEM1.TXT,0.85714,0.30000,0.44444,1

ROUGE-1+StopWordRemoval,NEWS586,SYSTEM1.TXT,0.85714,0.21818,0.34783,1

ROUGE-2+StopWordRemoval,NEWS586,SYSTEM1.TXT,0.58333,0.13462,0.21875,1

ROUGE-L+StopWordRemoval,NEWS344,SYSTEM1.TXT,0.14286,0.11111,0.12500,1

ROUGE-1+StopWordRemoval,NEWS344,SYSTEM1.TXT,0.18750,0.15000,0.16667,1

ROUGE-2+StopWordRemoval,NEWS344,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L+StopWordRemoval,NEWS587,SYSTEM1.TXT,0.15000,0.06977,0.09524,1

ROUGE-1+StopWordRemoval,NEWS587,SYSTEM1.TXT,0.24000,0.10909,0.15000,1

ROUGE-2+StopWordRemoval,NEWS587,SYSTEM1.TXT,0.09091,0.03846,0.05405,1

ROUGE-L+StopWordRemoval,NEWS103,SYSTEM1.TXT,0.28571,0.08889,0.13559,1

ROUGE-1+StopWordRemoval,NEWS103,SYSTEM1.TXT,0.31250,0.09615,0.14706,1

ROUGE-2+StopWordRemoval,NEWS103,SYSTEM1.TXT,0.14286,0.04082,0.06349,1

ROUGE-L+StopWordRemoval,NEWS345,SYSTEM1.TXT,0.35294,0.17647,0.23529,1

ROUGE-1+StopWordRemoval,NEWS345,SYSTEM1.TXT,0.41176,0.17500,0.24561,1

ROUGE-2+StopWordRemoval,NEWS345,SYSTEM1.TXT,0.13333,0.05405,0.07692,1

ROUGE-L+StopWordRemoval,NEWS346,SYSTEM1.TXT,0.25806,0.11429,0.15842,1

ROUGE-1+StopWordRemoval,NEWS346,SYSTEM1.TXT,0.35294,0.14634,0.20690,1

ROUGE-2+StopWordRemoval,NEWS346,SYSTEM1.TXT,0.12903,0.05063,0.07273,1

ROUGE-L+StopWordRemoval,NEWS588,SYSTEM1.TXT,0.72222,0.40625,0.52000,1

ROUGE-1+StopWordRemoval,NEWS588,SYSTEM1.TXT,0.77778,0.31818,0.45161,1

ROUGE-2+StopWordRemoval,NEWS588,SYSTEM1.TXT,0.31250,0.12195,0.17544,1

ROUGE-L+StopWordRemoval,NEWS104,SYSTEM1.TXT,0.23529,0.08333,0.12308,1

ROUGE-1+StopWordRemoval,NEWS104,SYSTEM1.TXT,0.31579,0.10909,0.16216,1

ROUGE-2+StopWordRemoval,NEWS104,SYSTEM1.TXT,0.11765,0.03846,0.05797,1

ROUGE-L+StopWordRemoval,NEWS105,SYSTEM1.TXT,0.41667,0.12500,0.19231,1

ROUGE-1+StopWordRemoval,NEWS105,SYSTEM1.TXT,0.46154,0.11111,0.17910,1

ROUGE-2+StopWordRemoval,NEWS105,SYSTEM1.TXT,0.18182,0.03922,0.06452,1

ROUGE-L+StopWordRemoval,NEWS347,SYSTEM1.TXT,0.61538,0.37209,0.46377,1

ROUGE-1+StopWordRemoval,NEWS347,SYSTEM1.TXT,0.62963,0.36957,0.46575,1

ROUGE-2+StopWordRemoval,NEWS347,SYSTEM1.TXT,0.28000,0.16279,0.20588,1

ROUGE-L+StopWordRemoval,NEWS589,SYSTEM1.TXT,0.35294,0.19355,0.25000,1

ROUGE-1+StopWordRemoval,NEWS589,SYSTEM1.TXT,0.42857,0.22500,0.29508,1

ROUGE-2+StopWordRemoval,NEWS589,SYSTEM1.TXT,0.16667,0.08108,0.10909,1

ROUGE-L+StopWordRemoval,NEWS106,SYSTEM1.TXT,0.12500,0.05556,0.07692,1

ROUGE-1+StopWordRemoval,NEWS106,SYSTEM1.TXT,0.17647,0.07500,0.10526,1

ROUGE-2+StopWordRemoval,NEWS106,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L+StopWordRemoval,NEWS96,SYSTEM1.TXT,0.55556,0.43478,0.48780,1

ROUGE-1+StopWordRemoval,NEWS96,SYSTEM1.TXT,0.55000,0.37931,0.44898,1

ROUGE-2+StopWordRemoval,NEWS96,SYSTEM1.TXT,0.44444,0.30769,0.36364,1

ROUGE-L+StopWordRemoval,NEWS348,SYSTEM1.TXT,0.46154,0.13636,0.21053,1

ROUGE-1+StopWordRemoval,NEWS348,SYSTEM1.TXT,0.61538,0.16667,0.26230,1

ROUGE-2+StopWordRemoval,NEWS348,SYSTEM1.TXT,0.27273,0.06667,0.10714,1

ROUGE-L+StopWordRemoval,NEWS349,SYSTEM1.TXT,0.36364,0.40000,0.38095,1

ROUGE-1+StopWordRemoval,NEWS349,SYSTEM1.TXT,0.60714,0.47222,0.53125,1

ROUGE-2+StopWordRemoval,NEWS349,SYSTEM1.TXT,0.48000,0.36364,0.41379,1

ROUGE-L+StopWordRemoval,NEWS97,SYSTEM1.TXT,0.47059,0.21053,0.29091,1

ROUGE-1+StopWordRemoval,NEWS97,SYSTEM1.TXT,0.50000,0.22222,0.30769,1

ROUGE-2+StopWordRemoval,NEWS97,SYSTEM1.TXT,0.29412,0.11905,0.16949,1

ROUGE-L+StopWordRemoval,NEWS107,SYSTEM1.TXT,0.17391,0.11111,0.13559,1

ROUGE-1+StopWordRemoval,NEWS107,SYSTEM1.TXT,0.20000,0.12821,0.15625,1

ROUGE-2+StopWordRemoval,NEWS107,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L+StopWordRemoval,NEWS98,SYSTEM1.TXT,0.85714,0.16216,0.27273,1

ROUGE-1+StopWordRemoval,NEWS98,SYSTEM1.TXT,0.85714,0.13636,0.23529,1

ROUGE-2+StopWordRemoval,NEWS98,SYSTEM1.TXT,0.20000,0.02439,0.04348,1

ROUGE-L+StopWordRemoval,NEWS108,SYSTEM1.TXT,0.09091,0.03704,0.05263,1

ROUGE-1+StopWordRemoval,NEWS108,SYSTEM1.TXT,0.09091,0.02564,0.04000,1

ROUGE-2+StopWordRemoval,NEWS108,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L+StopWordRemoval,NEWS109,SYSTEM1.TXT,0.28571,0.17391,0.21622,1

ROUGE-1+StopWordRemoval,NEWS109,SYSTEM1.TXT,0.29412,0.19231,0.23256,1

ROUGE-2+StopWordRemoval,NEWS109,SYSTEM1.TXT,0.07143,0.04348,0.05405,1

ROUGE-L+StopWordRemoval,NEWS99,SYSTEM1.TXT,0.27273,0.13636,0.18182,1

ROUGE-1+StopWordRemoval,NEWS99,SYSTEM1.TXT,0.29167,0.13462,0.18421,1

ROUGE-2+StopWordRemoval,NEWS99,SYSTEM1.TXT,0.09524,0.04082,0.05714,1

ROUGE-L+StopWordRemoval,NEWS92,SYSTEM1.TXT,0.81818,0.20930,0.33333,1

ROUGE-1+StopWordRemoval,NEWS92,SYSTEM1.TXT,0.81818,0.18000,0.29508,1

ROUGE-2+StopWordRemoval,NEWS92,SYSTEM1.TXT,0.55556,0.10638,0.17857,1

ROUGE-L+StopWordRemoval,NEWS93,SYSTEM1.TXT,0.64706,0.40741,0.50000,1

ROUGE-1+StopWordRemoval,NEWS93,SYSTEM1.TXT,0.66667,0.42857,0.52174,1

ROUGE-2+StopWordRemoval,NEWS93,SYSTEM1.TXT,0.37500,0.24000,0.29268,1

ROUGE-L+StopWordRemoval,NEWS590,SYSTEM1.TXT,0.24000,0.31579,0.27273,1

ROUGE-1+StopWordRemoval,NEWS590,SYSTEM1.TXT,0.25000,0.30435,0.27451,1

ROUGE-2+StopWordRemoval,NEWS590,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L+StopWordRemoval,NEWS591,SYSTEM1.TXT,0.40000,0.24242,0.30189,1

ROUGE-1+StopWordRemoval,NEWS591,SYSTEM1.TXT,0.45455,0.26316,0.33333,1

ROUGE-2+StopWordRemoval,NEWS591,SYSTEM1.TXT,0.25000,0.14286,0.18182,1

ROUGE-L+StopWordRemoval,NEWS94,SYSTEM1.TXT,0.43750,0.15556,0.22951,1

ROUGE-1+StopWordRemoval,NEWS94,SYSTEM1.TXT,0.50000,0.14286,0.22222,1

